Datetime,,total
2018,00:00:00,1103.850005445
2018,00:10:00,1190.98352278875
2018,00:15:00,1083.4733333849997
2018,00:20:00,1168.5309085987499
2018,00:30:00,1080.302941305
2018,00:40:00,965.1878571412499
2018,00:45:00,1082.9999943750001
2018,00:50:00,1048.41411715875
2018,01:00:00,1062.9565163625
2018,01:10:00,1171.70562499875
2018,01:15:00,1063.14006700875
2018,01:20:00,1124.2379166675
2018,01:30:00,1053.2103124462499
2018,01:40:00,1062.61136365125
2018,01:45:00,1082.3514705
2018,01:50:00,1103.4917045250002
2018,02:00:00,1104.0
2018,02:10:00,1117.7551135575
2018,02:15:00,1089.58571439
2018,02:20:00,1069.73583337125
2018,02:30:00,1064.12584674
2018,02:40:00,1078.7962500337499
2018,02:45:00,1078.5
2018,02:50:00,1130.10473486625
2018,03:00:00,1090.97115763875
2018,03:10:00,1109.8442832187502
2018,03:15:00,1054.8064268550002
2018,03:20:00,1125.6352272674999
2018,03:30:00,1071.67625074125
2018,03:40:00,1086.9109374974998
2018,03:45:00,1082.28437605125
2018,03:50:00,1101.7963942425001
2018,04:00:00,1100.96250134625
2018,04:10:00,1087.23225524625
2018,04:15:00,1097.89062492
2018,04:20:00,1096.0455194475
2018,04:30:00,1084.2624965925
2018,04:40:00,1126.4444602762499
2018,04:45:00,1084.98984377625
2018,04:50:00,1131.885511305
2018,05:00:00,1086.3136368300002
2018,05:10:00,1160.63061079125
2018,05:15:00,1069.0872045637502
2018,05:20:00,1098.41158211625
2018,05:30:00,1072.498837725
2018,05:40:00,1118.042232135
2018,05:45:00,1080.97500141
2018,05:50:00,1137.2895105037499
2018,06:00:00,1151.9625000225
2018,06:10:00,1136.63400727875
2018,06:15:00,1147.4999958937499
2018,06:20:00,1096.6119451575
2018,06:30:00,1169.31319239
2018,06:40:00,1139.8268028862499
2018,06:45:00,1225.64116075125
2018,06:50:00,1140.4271307000001
2018,07:00:00,1276.74106210125
2018,07:10:00,1171.23801471
2018,07:15:00,1300.0500015075002
2018,07:20:00,1130.45564838
2018,07:30:00,1305.3050611949998
2018,07:40:00,1089.0981249562499
2018,07:45:00,1384.1249998199999
2018,07:50:00,1115.91875003625
2018,08:00:00,1406.5874999999999
2018,08:10:00,1106.59687502625
2018,08:15:00,1456.6730775375
2018,08:20:00,1110.675
2018,08:30:00,1478.4000071775
2018,08:40:00,1106.969166675
2018,08:45:00,1500.075
2018,08:50:00,1127.1382812074999
2018,09:00:00,1501.2125000025
2018,09:10:00,1170.2086363875
2018,09:15:00,1505.00000001375
2018,09:20:00,1174.6817045174998
2018,09:30:00,1504.12501105125
2018,09:40:00,1199.3626523475
2018,09:45:00,1551.57510146625
2018,09:50:00,1206.5360358975001
2018,10:00:00,1585.46250625875
2018,10:10:00,1222.37560975125
2018,10:15:00,1553.91913561875
2018,10:20:00,1227.07329543375
2018,10:30:00,1601.7750091350001
2018,10:40:00,1272.50024041125
2018,10:45:00,1600.95990391875
2018,10:50:00,1241.317987785
2018,11:00:00,1566.2624993025
2018,11:10:00,1295.23955109
2018,11:15:00,1585.6903315012498
2018,11:20:00,1300.38055814625
2018,11:30:00,1605.4714314375
2018,11:40:00,1297.6674838049998
2018,11:45:00,1593.9749988562498
2018,11:50:00,1300.01383930875
2018,12:00:00,1614.7584725474999
2018,12:10:00,1319.2772726925
